save,physical_time_s,physical_time_us,metric,units,C1_value,C2_value,C2_minus_C1,relative_difference,classification,note
3,1.5e-07,0.15,Y_H2O2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_H2O_integral,kg/m-depth,0.0,7.937506389712705e-13,7.937506389712705e-13,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_H2O_max_valid_gas,kg/m3,0.0,0.00154089667164,0.00154089667164,nan,small-to-moderate,
3,1.5e-07,0.15,rhoY_H2O_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_H2O_max_valid_gas,mass fraction,0.0,9.849539829609478e-05,9.849539829609478e-05,nan,small-to-moderate,
3,1.5e-07,0.15,Y_H2O_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_CO_integral,kg/m-depth,0.0,7.526605821236537e-13,7.526605821236537e-13,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_CO_max_valid_gas,kg/m3,0.0,0.0014043506481,0.0014043506481,nan,small-to-moderate,
3,1.5e-07,0.15,rhoY_CO_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_CO_max_valid_gas,mass fraction,0.0,8.976726277484267e-05,8.976726277484267e-05,nan,small-to-moderate,
3,1.5e-07,0.15,Y_CO_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_CO2_integral,kg/m-depth,0.0,2.799514947809676e-14,2.799514947809676e-14,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_CO2_max_valid_gas,kg/m3,0.0,5.989218766e-05,5.989218766e-05,nan,small-to-moderate,
3,1.5e-07,0.15,rhoY_CO2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_CO2_max_valid_gas,mass fraction,0.0,3.828358505127826e-06,3.828358505127826e-06,nan,small-to-moderate,
3,1.5e-07,0.15,Y_CO2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
4,2e-07,0.19999999999999998,runtime_t_step_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
4,2e-07,0.19999999999999998,runtime_dt_s_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
4,2e-07,0.19999999999999998,valid_gas_Tmax,K,1914.8186289249545,1914.7806538273476,-0.03797509760693174,-1.9832216499926303e-05,small,
4,2e-07,0.19999999999999998,valid_gas_T999,K,1859.7599276139395,1859.7180893731595,-0.041838240779952685,-2.2496581498898566e-05,small,
